2020-06-19 15:19:30,114 - TestValue - INFO - {'Test_ID': 52, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:19:28', 'Cultural_Name': '人物车马俑', 'Test_Chart': 'IMG_20190807_122027.jpg', 'Code': 0, 'Expected_Value': 0, 'TimeConsuming': 1.38, 'top1': 0, 'top2': 269, 'top3': 288, 'Result': 'PASS', 'Color': 'c6efce_006100', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/0/IMG_20190807_122027.jpg'}
2020-06-19 15:19:30,461 - TestValue - INFO - {'Test_ID': 51, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:19:28', 'Cultural_Name': '人物车马俑', 'Test_Chart': 'IMG_20190807_122026.jpg', 'Code': 0, 'Expected_Value': 0, 'TimeConsuming': 1.385, 'top1': 0, 'top2': 269, 'top3': 160, 'Result': 'PASS', 'Color': 'c6efce_006100', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/0/IMG_20190807_122026.jpg'}
2020-06-19 15:19:30,636 - TestValue - INFO - {'Test_ID': 53, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:19:28', 'Cultural_Name': '汉代釉陶望楼', 'Test_Chart': 'IMG_20190807_110900.jpg', 'Code': 1, 'Expected_Value': 1, 'TimeConsuming': 1.403, 'top1': 1, 'top2': 137, 'top3': 205, 'Result': 'PASS', 'Color': 'c6efce_006100', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/1/IMG_20190807_110900.jpg'}
2020-06-19 15:19:31,917 - TestValue - INFO - {'Test_ID': 54, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:19:30', 'Cultural_Name': '汉代釉陶望楼', 'Test_Chart': 'IMG_20190807_110901.jpg', 'Code': 1, 'Expected_Value': 1, 'TimeConsuming': 1.296, 'top1': 1, 'top2': 205, 'top3': 137, 'Result': 'PASS', 'Color': 'c6efce_006100', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/1/IMG_20190807_110901.jpg'}
2020-06-19 15:19:32,337 - TestValue - INFO - {'Test_ID': 55, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:19:30', 'Cultural_Name': '汉代釉陶望楼', 'Test_Chart': 'IMG_20190807_110902.jpg', 'Code': 1, 'Expected_Value': 1, 'TimeConsuming': 1.297, 'top1': 1, 'top2': 205, 'top3': 137, 'Result': 'PASS', 'Color': 'c6efce_006100', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/1/IMG_20190807_110902.jpg'}
2020-06-19 15:19:32,568 - TestValue - INFO - {'Test_ID': 56, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:19:30', 'Cultural_Name': '汉代釉陶望楼', 'Test_Chart': 'IMG_20190807_110904.jpg', 'Code': 1, 'Expected_Value': 1, 'TimeConsuming': 1.408, 'top1': 1, 'top2': 137, 'top3': 205, 'Result': 'PASS', 'Color': 'c6efce_006100', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/1/IMG_20190807_110904.jpg'}
2020-06-19 15:19:33,737 - TestValue - INFO - {'Test_ID': 57, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:19:31', 'Cultural_Name': '汉代釉陶望楼', 'Test_Chart': 'IMG_20190807_110906.jpg', 'Code': 1, 'Expected_Value': 1, 'TimeConsuming': 1.569, 'top1': 1, 'top2': 137, 'top3': 205, 'Result': 'PASS', 'Color': 'c6efce_006100', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/1/IMG_20190807_110906.jpg'}
2020-06-19 15:19:34,038 - TestValue - INFO - {'Test_ID': 58, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:19:32', 'Cultural_Name': '汉代釉陶望楼', 'Test_Chart': 'IMG_20190807_110907.jpg', 'Code': 1, 'Expected_Value': 1, 'TimeConsuming': 1.307, 'top1': 1, 'top2': 137, 'top3': 205, 'Result': 'PASS', 'Color': 'c6efce_006100', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/1/IMG_20190807_110907.jpg'}
2020-06-19 15:19:34,246 - TestValue - INFO - {'Test_ID': 59, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:19:32', 'Cultural_Name': '汉代釉陶望楼', 'Test_Chart': 'IMG_20190807_110916.jpg', 'Code': 1, 'Expected_Value': 1, 'TimeConsuming': 1.387, 'top1': 1, 'top2': 141, 'top3': 271, 'Result': 'PASS', 'Color': 'c6efce_006100', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/1/IMG_20190807_110916.jpg'}
2020-06-19 15:19:35,163 - TestValue - INFO - {'Test_ID': 60, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:19:33', 'Cultural_Name': '汉代釉陶望楼', 'Test_Chart': 'IMG_20190807_110917.jpg', 'Code': 1, 'Expected_Value': 1, 'TimeConsuming': 1.306, 'top1': 1, 'top2': 138, 'top3': 141, 'Result': 'PASS', 'Color': 'c6efce_006100', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/1/IMG_20190807_110917.jpg'}
2020-06-19 15:19:35,470 - TestValue - INFO - {'Test_ID': 61, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:19:34', 'Cultural_Name': '汉代釉陶望楼', 'Test_Chart': 'IMG_20190807_110917_1.jpg', 'Code': 1, 'Expected_Value': 1, 'TimeConsuming': 1.343, 'top1': 1, 'top2': 138, 'top3': 141, 'Result': 'PASS', 'Color': 'c6efce_006100', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/1/IMG_20190807_110917_1.jpg'}
